date_key,date,year,quarter,month,month_name,day,weekday_name,is_weekend
20171120,2017-11-20,2017,4,11,November,20,Monday,False
20171121,2017-11-21,2017,4,11,November,21,Tuesday,False
20171122,2017-11-22,2017,4,11,November,22,Wednesday,False
20171123,2017-11-23,2017,4,11,November,23,Thursday,False
20171124,2017-11-24,2017,4,11,November,24,Friday,False
20171125,2017-11-25,2017,4,11,November,25,Saturday,True
20171126,2017-11-26,2017,4,11,November,26,Sunday,True
20171127,2017-11-27,2017,4,11,November,27,Monday,False
20171128,2017-11-28,2017,4,11,November,28,Tuesday,False
20171129,2017-11-29,2017,4,11,November,29,Wednesday,False
20171130,2017-11-30,2017,4,11,November,30,Thursday,False
20171201,2017-12-01,2017,4,12,December,1,Friday,False
20171202,2017-12-02,2017,4,12,December,2,Saturday,True
20171203,2017-12-03,2017,4,12,December,3,Sunday,True
20171204,2017-12-04,2017,4,12,December,4,Monday,False
20171205,2017-12-05,2017,4,12,December,5,Tuesday,False
20171206,2017-12-06,2017,4,12,December,6,Wednesday,False
20171207,2017-12-07,2017,4,12,December,7,Thursday,False
20171208,2017-12-08,2017,4,12,December,8,Friday,False
20171209,2017-12-09,2017,4,12,December,9,Saturday,True
20171210,2017-12-10,2017,4,12,December,10,Sunday,True
20171211,2017-12-11,2017,4,12,December,11,Monday,False
20171212,2017-12-12,2017,4,12,December,12,Tuesday,False
20171213,2017-12-13,2017,4,12,December,13,Wednesday,False
20171214,2017-12-14,2017,4,12,December,14,Thursday,False
20171215,2017-12-15,2017,4,12,December,15,Friday,False
20171216,2017-12-16,2017,4,12,December,16,Saturday,True
20171217,2017-12-17,2017,4,12,December,17,Sunday,True
20171218,2017-12-18,2017,4,12,December,18,Monday,False
20171219,2017-12-19,2017,4,12,December,19,Tuesday,False
20171220,2017-12-20,2017,4,12,December,20,Wednesday,False
20171221,2017-12-21,2017,4,12,December,21,Thursday,False
20171222,2017-12-22,2017,4,12,December,22,Friday,False
20171223,2017-12-23,2017,4,12,December,23,Saturday,True
20171224,2017-12-24,2017,4,12,December,24,Sunday,True
20171225,2017-12-25,2017,4,12,December,25,Monday,False
20171226,2017-12-26,2017,4,12,December,26,Tuesday,False
20171227,2017-12-27,2017,4,12,December,27,Wednesday,False
20171228,2017-12-28,2017,4,12,December,28,Thursday,False
20171229,2017-12-29,2017,4,12,December,29,Friday,False
20171230,2017-12-30,2017,4,12,December,30,Saturday,True
20171231,2017-12-31,2017,4,12,December,31,Sunday,True
20180101,2018-01-01,2018,1,1,January,1,Monday,False
20180102,2018-01-02,2018,1,1,January,2,Tuesday,False
20180103,2018-01-03,2018,1,1,January,3,Wednesday,False
20180104,2018-01-04,2018,1,1,January,4,Thursday,False
20180105,2018-01-05,2018,1,1,January,5,Friday,False
20180106,2018-01-06,2018,1,1,January,6,Saturday,True
20180107,2018-01-07,2018,1,1,January,7,Sunday,True
20180108,2018-01-08,2018,1,1,January,8,Monday,False
20180109,2018-01-09,2018,1,1,January,9,Tuesday,False
20180110,2018-01-10,2018,1,1,January,10,Wednesday,False
20180111,2018-01-11,2018,1,1,January,11,Thursday,False
20180112,2018-01-12,2018,1,1,January,12,Friday,False
20180113,2018-01-13,2018,1,1,January,13,Saturday,True
20180114,2018-01-14,2018,1,1,January,14,Sunday,True
20180115,2018-01-15,2018,1,1,January,15,Monday,False
20180116,2018-01-16,2018,1,1,January,16,Tuesday,False
20180117,2018-01-17,2018,1,1,January,17,Wednesday,False
20180118,2018-01-18,2018,1,1,January,18,Thursday,False
20180119,2018-01-19,2018,1,1,January,19,Friday,False
20180120,2018-01-20,2018,1,1,January,20,Saturday,True
20180121,2018-01-21,2018,1,1,January,21,Sunday,True
20180122,2018-01-22,2018,1,1,January,22,Monday,False
20180123,2018-01-23,2018,1,1,January,23,Tuesday,False
20180124,2018-01-24,2018,1,1,January,24,Wednesday,False
20180125,2018-01-25,2018,1,1,January,25,Thursday,False
20180126,2018-01-26,2018,1,1,January,26,Friday,False
20180127,2018-01-27,2018,1,1,January,27,Saturday,True
20180128,2018-01-28,2018,1,1,January,28,Sunday,True
20180129,2018-01-29,2018,1,1,January,29,Monday,False
